Enrichment,TD_Density,Irradiation_Vehicle,R,A,S,N_U-235,Radial_R,Axial_Z,0.0,1.0,3.0,5.0,10.0,15.0,20.0,22.0,24.0,25.0,25.001,26.0,28.0,30.0,35.0,40.0,45.0,47.0,49.0,50.0,50.001,51.0,53.0,55.0,60.0,65.0,70.0,72.0,74.0,75.0,75.001,76.0,78.0,80.0,85.0,90.0,95.0,97.0,99.0,100.0
5.0,,RB,2,1,2,,260.3889,-221.3115,262.288716,315.073607,330.041791,330.736583,344.474057,370.102894,399.920404,424.749522,472.47385,523.87621,232.473074,282.580826,299.457766,297.485244,308.839925,321.178141,364.960242,382.996227,415.45177,458.515695,203.480395,254.440408,261.012115,267.011464,275.706472,283.289359,317.68313,332.862738,391.850309,412.776101,185.431189,229.671943,236.828847,242.318442,250.82524,259.742939,293.341294,309.201707,346.738796,374.750755
5.0,,RB,2,1,3,,260.3889,-196.8115,297.64816,383.665695,392.8029,402.738504,405.204438,431.109029,458.755102,487.126827,554.937192,591.781732,265.831222,341.065823,354.614184,355.421994,359.11433,374.681435,405.154333,439.421322,475.194232,509.736382,226.073068,294.715494,306.361361,309.188939,312.075719,334.38763,356.518103,389.192983,418.58729,452.240771,204.166322,261.556184,275.564768,273.239184,278.256364,292.392412,322.905505,351.743451,373.184006,414.625267
5.0,,RB,2,1,4,,260.3889,-172.3115,349.243058,453.846769,464.67762,459.720482,464.964862,493.098495,560.013952,573.529039,594.256103,620.449316,294.44758,385.063816,395.681477,403.834911,400.133976,414.206693,464.265239,490.87718,513.668925,548.297497,257.829044,339.128134,347.452504,343.576547,355.426888,366.093645,403.514065,418.969631,446.351907,466.795208,223.307011,294.714077,301.45486,301.634002,300.778837,319.360193,366.559822,384.325865,404.631322,415.124263
5.0,,RB,2,1,5,,260.3889,-147.8115,407.388436,526.35735,533.701813,539.147637,545.667472,572.063856,631.881825,646.594616,667.631686,684.281053,348.615607,452.84034,463.826624,452.973958,454.925991,484.610594,520.508819,537.787295,553.417682,565.118751,291.514718,372.121782,386.01802,383.323524,380.044038,409.894025,444.419259,466.090614,463.951273,479.768597,253.722037,331.116495,336.676978,332.957979,336.72152,362.611864,394.562777,406.262936,418.855029,433.010765
5.0,,RB,2,1,6,,260.3889,-123.3115,468.410916,600.083512,613.669181,626.014146,627.685509,650.92659,696.928808,696.631094,708.21528,694.809009,388.322555,498.862739,505.389206,504.102357,505.216537,527.264684,562.933976,578.634465,586.942094,580.451932,330.249734,419.181764,424.339916,420.648965,430.614925,447.093795,479.742817,480.271722,493.204831,495.687237,285.794575,360.696091,372.922294,363.757333,370.581923,398.395683,429.856252,425.551058,437.644062,443.271433
5.0,,RB,2,2,1,,260.3889,-45.85,620.504265,859.333225,869.010484,860.030415,827.795528,808.567823,776.949649,766.086677,758.549915,755.721688,474.265357,646.138493,659.827145,643.576408,620.102036,609.868248,596.204686,598.346783,588.064535,577.355771,376.854822,525.486729,520.267301,505.273166,498.099247,493.929412,496.868863,498.158319,496.644987,489.876159,333.794056,457.27157,459.812573,445.695017,439.595086,448.698536,437.639393,434.414404,442.442582,436.328277
5.0,,RB,2,2,2,,260.3889,-21.35,630.68926,891.110318,893.955856,859.062492,845.143021,827.744192,794.343618,786.45967,762.560438,754.775593,492.381618,682.326254,677.065028,658.89325,618.968145,618.880369,613.98405,599.388609,591.16948,566.925738,390.246008,537.56232,536.463197,529.062329,513.063328,509.336689,499.9162,486.03423,493.187298,487.531392,334.699099,468.236357,453.202242,453.655503,439.582859,450.755174,458.321766,443.804431,443.480983,444.005496
5.0,,RB,2,2,3,,260.3889,3.15,629.768394,891.076908,889.324753,882.744476,851.055703,816.118356,781.292952,758.506308,751.018582,745.436334,479.980131,682.051951,680.311666,644.932714,631.472583,613.569182,600.007766,583.534881,584.983131,568.897154,378.067464,529.457814,532.544149,516.060783,505.404362,494.093831,489.335047,499.433785,480.742259,479.910764,328.074281,452.189226,454.108428,450.744661,441.215474,443.79146,441.447992,436.519263,442.607423,438.127757
5.0,,RB,2,2,4,,260.3889,27.65,575.13814,871.065031,866.86907,876.332922,824.246056,805.410599,779.141568,781.710177,767.537518,754.662656,456.511593,661.025076,664.280888,657.716774,631.562596,615.119802,607.348495,607.747678,591.823168,584.768507,375.63536,536.533674,545.737531,519.06528,499.533299,509.13754,503.68138,507.429482,499.545821,498.741778,322.469987,463.902147,466.651348,460.968028,454.164787,460.104373,457.503095,462.117071,463.346544,458.052967
5.0,,RB,2,2,5,,260.3889,52.15,550.746235,795.466115,828.655764,811.648016,805.59154,806.303449,791.190384,779.150332,768.038127,747.865342,433.096569,626.741477,651.646892,638.818485,626.198782,605.424511,593.748895,604.047528,587.301949,582.405892,349.986525,513.721039,516.732295,509.22547,493.655936,501.821294,491.502885,487.852224,482.520378,482.818917,300.215196,422.6554,435.038076,436.099363,431.839562,449.265304,442.14503,442.824024,443.443521,437.90795
5.0,,RB,2,2,6,,260.3889,76.65,508.083957,707.455835,748.424446,770.075971,756.822097,757.282333,747.40205,752.512371,725.673421,724.077698,398.269622,551.429975,575.413312,577.366506,582.122199,583.99331,584.610775,590.660886,588.312789,581.269304,335.122977,460.176927,480.045514,478.991523,487.092483,500.184288,497.937084,498.963786,498.043912,497.284379,290.771372,403.479385,421.546029,414.120492,419.081211,437.844331,458.935017,452.670874,453.707037,458.923441
5.0,,RB,2,3,1,,260.3889,154.111,323.148653,438.016294,459.866101,457.973754,472.29013,514.545985,600.741041,636.634287,666.949746,680.625036,279.993791,385.796242,404.548441,402.570508,407.46595,443.839213,522.759774,539.757022,579.922578,589.990825,254.389877,354.298902,364.602688,355.861998,367.167396,387.971868,455.291007,492.965808,514.443435,533.324067,229.031241,315.706026,326.106971,325.644941,330.894382,349.618986,415.155358,439.003927,463.539358,462.202112
5.0,,RB,2,3,2,,260.3889,178.611,267.000399,386.179716,388.203709,386.639212,400.465824,430.898393,499.75696,535.84927,616.876502,653.954134,235.443927,338.057613,355.116396,354.678262,369.303154,388.542886,451.894176,485.089177,540.775902,558.652356,214.970709,305.943385,319.117315,320.817893,317.181063,338.895986,384.053216,421.089132,473.184368,490.492422,190.312425,269.196619,277.264451,280.334273,287.270673,298.311405,360.705457,378.753699,425.208217,451.24022
5.0,,RB,2,3,3,,260.3889,203.111,223.651149,305.094502,328.640392,338.157476,336.809455,359.508434,401.757118,440.242602,508.703708,576.081531,208.609971,268.659657,296.896818,300.466696,313.205846,323.545507,366.405263,405.746666,471.28687,516.649239,189.656067,259.887796,274.448044,279.915935,288.891352,306.777296,347.770667,375.743952,425.828595,479.106641,177.392546,239.045913,248.669702,255.233941,262.117634,275.996332,307.628955,335.059413,391.805635,441.346799
5.0,,RB,2,3,4,,260.3889,227.611,194.320133,238.838143,248.542956,258.710996,272.770168,295.993306,347.903007,366.962081,417.324429,500.828501,177.577698,217.948343,229.598043,235.532193,248.921227,280.43088,321.07709,339.441079,382.31682,455.862264,167.263202,202.507598,217.926435,221.265633,238.241234,257.961304,294.550784,308.58613,354.821265,422.441887,156.740886,189.386602,201.697971,204.950219,222.70185,242.571965,267.188449,297.489273,326.008066,392.087152
5.0,,RB,2,3,5,,260.3889,252.111,171.662634,198.485533,203.535913,212.256206,222.63927,246.876283,293.919771,305.506893,348.05317,431.287396,160.72444,183.407335,194.274187,199.778716,206.66137,233.954427,276.395021,303.894232,321.700838,395.445288,155.51707,176.242838,183.928896,186.651511,191.692266,215.397371,259.118041,277.794171,305.36047,354.706546,136.795569,165.194899,170.161823,163.463777,177.74555,198.961393,236.1639,252.571881,275.294657,334.51568
5.0,,RB,2,3,6,,260.3889,276.611,154.924493,180.223142,181.784431,184.562685,191.11555,206.357076,262.246382,290.547065,311.260251,358.815911,151.606768,165.953767,170.445211,171.088888,181.035417,185.367282,253.478222,267.169491,281.247904,327.137572,136.537106,156.763422,157.305279,159.193909,160.084215,171.863721,226.361824,246.107973,264.611429,301.434964,127.017883,140.985451,146.032847,145.646015,148.025587,161.466299,208.850365,226.271962,253.92117,283.069057
5.0,,RB,3,1,1,,277.9464,-245.8115,267.619081,320.257384,323.683107,326.904616,322.218337,338.532338,371.501376,396.811962,413.182174,460.220101,236.983633,273.93745,279.926441,272.860491,283.085629,300.876971,327.326649,344.653397,359.322019,399.135799,206.461441,236.367207,241.559674,245.416432,252.390816,262.168151,289.825336,299.287529,317.081983,350.816693,187.692318,211.985236,216.9473,219.038196,220.665643,224.217073,254.256599,258.735288,283.857892,311.799598
5.0,,RB,3,1,2,,277.9464,-221.3115,302.123979,359.106254,371.369532,374.513934,374.85003,396.510595,424.322862,441.466505,470.359771,503.824862,262.333675,313.277232,317.028301,319.933049,328.612525,335.653646,359.938647,375.479602,405.931795,435.043675,226.180538,274.30237,281.210531,274.131691,283.883061,285.234319,309.543249,324.62529,346.184346,369.754959,195.735832,234.083537,239.394308,240.695456,240.297448,253.986815,272.133106,283.950205,304.654526,320.477446
