U%,Density,Thermal_Conductivity,IV,Digit1,Digit2,Digit3,N_U_235,0,1,3,5,10,15,20,22,24,26,26,27,29,31,36,41,46,48,50,52,52,53,55,57,62,67,72,74,76,78,78,79,81,83,88,93,98,100,102,104,104,105,107,109,114,119,124,126,128,130,130,131,133,135,140,145,150,152,154,156,156,157,159,161,166,171,176,178,180,182,182,183,185,187,192,197,202,204,206,208,208,209,211,213,218,223,228,230,232,234
0.35,10920.00,2.90,1.00,2.00,3.00,5.00,86300000000000000000.00,22.07,25.42,26.83,28.32,30.89,37.69,50.14,55.59,63.51,83.79,39.80,43.21,44.06,45.63,49.42,58.01,72.37,79.17,88.13,111.42,49.18,57.88,57.71,58.13,60.85,69.19,87.21,96.34,105.91,134.62,57.60,64.66,65.45,66.44,70.51,78.92,98.49,108.70,117.68,148.20,62.11,70.60,72.54,73.47,75.32,85.50,105.66,116.62,126.73,160.11,62.11,70.60,72.54,73.47,75.32,85.50,105.66,116.62,126.73,160.11,62.11,70.60,72.54,73.47,75.32,85.50,105.66,116.62,126.73,160.11,62.11,70.60,72.54,73.47,75.32,85.50,105.66,116.62,126.73,160.11,62.11,70.60,72.54,73.47,75.32,85.50,105.66,116.62,126.73,160.11
0.35,10920.00,2.90,1.00,2.00,3.00,4.00,86300000000000000000.00,29.16,35.43,35.33,38.29,44.38,54.28,68.75,78.94,88.17,113.10,52.44,62.61,63.49,67.19,70.60,82.47,98.34,106.68,117.71,151.04,66.00,77.93,80.28,82.61,88.47,101.03,119.43,127.48,142.68,181.25,79.12,90.97,95.26,93.99,100.95,116.34,133.07,141.79,157.96,199.75,83.36,98.99,102.91,106.01,109.08,124.83,143.09,153.08,168.34,211.78,83.36,98.99,102.91,106.01,109.08,124.83,143.09,153.08,168.34,211.78,83.36,98.99,102.91,106.01,109.08,124.83,143.09,153.08,168.34,211.78,83.36,98.99,102.91,106.01,109.08,124.83,143.09,153.08,168.34,211.78,83.36,98.99,102.91,106.01,109.08,124.83,143.09,153.08,168.34,211.78
0.35,10920.00,2.90,1.00,2.00,3.00,3.00,86300000000000000000.00,30.10,38.69,42.24,43.85,54.24,67.88,86.38,97.92,115.73,140.31,62.88,82.41,85.76,88.00,95.30,108.62,125.51,138.82,160.50,191.08,82.66,107.01,111.08,111.73,119.05,130.63,153.46,163.15,186.63,221.86,94.70,122.77,128.23,128.86,134.36,146.24,170.08,182.26,203.08,242.71,101.85,136.68,139.68,137.97,143.20,156.90,174.96,191.54,215.71,256.03,101.85,136.68,139.68,137.97,143.20,156.90,174.96,191.54,215.71,256.03,101.85,136.68,139.68,137.97,143.20,156.90,174.96,191.54,215.71,256.03,101.85,136.68,139.68,137.97,143.20,156.90,174.96,191.54,215.71,256.03,101.85,136.68,139.68,137.97,143.20,156.90,174.96,191.54,215.71,256.03
0.35,10920.00,2.90,1.00,2.00,3.00,2.00,86300000000000000000.00,33.51,45.13,48.62,52.16,67.70,85.02,113.20,128.53,149.76,174.20,82.05,110.48,114.71,117.23,123.84,139.43,164.04,180.64,203.15,229.48,105.26,139.95,142.47,143.46,151.13,164.45,188.59,210.95,239.54,261.02,114.44,157.65,159.83,160.30,165.60,178.94,207.12,228.51,255.41,281.06,121.54,167.14,171.09,169.66,176.48,188.55,215.30,234.59,264.91,291.43,121.54,167.14,171.09,169.66,176.48,188.55,215.30,234.59,264.91,291.43,121.54,167.14,171.09,169.66,176.48,188.55,215.30,234.59,264.91,291.43,121.54,167.14,171.09,169.66,176.48,188.55,215.30,234.59,264.91,291.43,121.54,167.14,171.09,169.66,176.48,188.55,215.30,234.59,264.91,291.43
0.35,10920.00,2.90,1.00,2.00,3.00,1.00,86300000000000000000.00,45.50,57.97,60.62,66.55,85.53,109.53,143.73,164.53,183.19,199.84,109.30,140.92,143.03,144.07,154.24,171.59,210.51,230.11,248.92,265.80,134.25,176.16,178.05,180.45,186.63,200.80,242.23,263.45,286.70,299.35,148.13,196.61,194.97,198.15,202.96,216.48,259.05,278.13,301.14,316.94,154.44,202.22,204.85,204.15,208.93,226.40,262.97,294.40,309.58,326.73,154.44,202.22,204.85,204.15,208.93,226.40,262.97,294.40,309.58,326.73,154.44,202.22,204.85,204.15,208.93,226.40,262.97,294.40,309.58,326.73,154.44,202.22,204.85,204.15,208.93,226.40,262.97,294.40,309.58,326.73,154.44,202.22,204.85,204.15,208.93,226.40,262.97,294.40,309.58,326.73
0.35,10920.00,2.90,1.00,2.00,2.00,6.00,86300000000000000000.00,63.02,84.13,92.29,105.71,145.87,189.00,229.70,242.80,258.47,265.86,182.06,241.03,239.83,244.36,258.00,285.34,314.50,322.14,330.58,335.14,220.68,287.62,288.50,290.74,298.68,322.35,344.38,351.43,359.42,357.95,225.86,299.77,304.46,303.58,312.94,336.42,357.12,363.58,369.68,366.50,236.42,316.23,316.38,313.52,318.98,348.53,365.33,370.26,370.27,370.72,236.42,316.23,316.38,313.52,318.98,348.53,365.33,370.26,370.27,370.72,236.42,316.23,316.38,313.52,318.98,348.53,365.33,370.26,370.27,370.72,236.42,316.23,316.38,313.52,318.98,348.53,365.33,370.26,370.27,370.72,236.42,316.23,316.38,313.52,318.98,348.53,365.33,370.26,370.27,370.72
0.35,10920.00,2.90,1.00,2.00,2.00,5.00,86300000000000000000.00,66.10,90.43,101.92,115.39,159.19,205.21,245.22,258.91,273.39,279.67,203.03,277.30,272.89,271.76,286.57,312.53,333.51,341.04,349.56,350.08,240.38,332.55,325.75,323.88,327.75,345.90,368.22,368.23,372.23,373.25,254.92,348.77,344.35,338.66,343.98,364.75,383.31,387.74,382.94,386.08,258.45,356.46,349.65,344.65,348.69,368.25,385.40,386.65,387.89,391.55,258.45,356.46,349.65,344.65,348.69,368.25,385.40,386.65,387.89,391.55,258.45,356.46,349.65,344.65,348.69,368.25,385.40,386.65,387.89,391.55,258.45,356.46,349.65,344.65,348.69,368.25,385.40,386.65,387.89,391.55,258.45,356.46,349.65,344.65,348.69,368.25,385.40,386.65,387.89,391.55
0.35,10920.00,2.90,1.00,2.00,2.00,4.00,86300000000000000000.00,69.48,98.58,106.75,122.70,168.23,213.95,255.23,269.08,281.64,287.91,218.71,293.80,290.37,287.51,296.45,319.78,342.60,348.39,352.83,354.85,255.77,347.24,342.87,333.80,339.52,355.97,369.30,373.29,374.27,373.91,267.91,364.84,362.03,348.39,353.36,370.48,375.49,379.54,380.08,380.17,272.24,372.44,363.44,357.12,358.17,372.99,389.85,390.72,388.05,386.80,272.24,372.44,363.44,357.12,358.17,372.99,389.85,390.72,388.05,386.80,272.24,372.44,363.44,357.12,358.17,372.99,389.85,390.72,388.05,386.80,272.24,372.44,363.44,357.12,358.17,372.99,389.85,390.72,388.05,386.80,272.24,372.44,363.44,357.12,358.17,372.99,389.85,390.72,388.05,386.80
0.35,10920.00,2.90,1.00,2.00,2.00,3.00,86300000000000000000.00,74.56,101.17,109.43,125.33,174.27,221.47,261.84,276.91,286.45,294.19,233.80,306.79,296.09,297.99,305.12,329.94,345.66,352.85,356.14,357.61,273.96,357.38,347.44,341.04,344.85,360.31,374.87,383.69,381.75,381.80,285.32,376.44,370.60,362.97,366.04,378.61,387.41,389.34,387.34,384.73,290.44,379.86,372.45,364.52,362.66,375.66,387.69,384.05,385.53,387.26,290.44,379.86,372.45,364.52,362.66,375.66,387.69,384.05,385.53,387.26,290.44,379.86,372.45,364.52,362.66,375.66,387.69,384.05,385.53,387.26,290.44,379.86,372.45,364.52,362.66,375.66,387.69,384.05,385.53,387.26,290.44,379.86,372.45,364.52,362.66,375.66,387.69,384.05,385.53,387.26
0.35,10920.00,2.90,1.00,2.00,2.00,2.00,86300000000000000000.00,78.56,103.76,112.21,126.87,177.90,224.96,265.47,276.94,290.56,295.08,234.45,299.65,294.68,293.44,305.18,330.70,347.67,353.33,357.55,358.17,274.53,358.70,348.69,343.78,348.56,360.57,371.25,380.83,382.73,382.68,292.07,375.99,368.25,361.74,366.20,377.11,386.90,388.55,388.10,385.71,286.37,375.62,368.91,355.76,363.59,373.92,383.67,382.35,381.37,380.40,286.37,375.62,368.91,355.76,363.59,373.92,383.67,382.35,381.37,380.40,286.37,375.62,368.91,355.76,363.59,373.92,383.67,382.35,381.37,380.40,286.37,375.62,368.91,355.76,363.59,373.92,383.67,382.35,381.37,380.40,286.37,375.62,368.91,355.76,363.59,373.92,383.67,382.35,381.37,380.40
